Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 87.0.4280.141,,,2021-01-21 14:57:33,2021-01-21 14:58:32,59.002s,PASSED
,,,,,,,
Test Cases/Test1,Chrome 87.0.4280.141,This will basically open the page and verify items present,,2021-01-21 14:57:34,2021-01-21 14:57:54,19.271s,PASSED
"openBrowser(""http://cms.demo.katalon.com"")",Chrome 87.0.4280.141,,,2021-01-21 14:57:35,2021-01-21 14:57:43,8.187s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-01-21 14:57:43,2021-01-21 14:57:45,2.039s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_2""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:45,2021-01-21 14:57:45,0.380s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a__next page-numbers""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:45,2021-01-21 14:57:46,0.338s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Cart""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:46,2021-01-21 14:57:46,0.327s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Checkout""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:46,2021-01-21 14:57:46,0.312s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_My account""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:46,2021-01-21 14:57:47,0.342s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Proudly powered by WordPress""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:47,2021-01-21 14:57:47,0.292s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Sample Page""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:47,2021-01-21 14:57:47,0.292s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Shop""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:47,2021-01-21 14:57:48,0.280s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/a_Themes Zone""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:48,2021-01-21 14:57:48,0.283s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/b_ELLIE""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:48,2021-01-21 14:57:48,0.275s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/div_Katalon Shop                                    Katalon Ecommerce""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:48,2021-01-21 14:57:48,0.282s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/div_Proudly powered by WordPress  Theme ELLIE by Themes Zone""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:48,2021-01-21 14:57:49,0.281s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h1_Shop""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:49,2021-01-21 14:57:49,0.279s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h1_Shop""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:49,2021-01-21 14:57:49,0.279s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h2_Archives""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:49,2021-01-21 14:57:50,0.273s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h2_Meta""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:50,2021-01-21 14:57:50,0.272s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h2_Recent Comments""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:50,2021-01-21 14:57:50,0.285s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/h2_Recent Posts""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:50,2021-01-21 14:57:50,0.296s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/i_Search_ellie-icon-search""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:50,2021-01-21 14:57:51,0.286s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/img_Themes Zone_bitnami-corner-image""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:51,2021-01-21 14:57:51,0.282s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Items on FrontPage/input_Search for_s""), 2)",Chrome 87.0.4280.141,,,2021-01-21 14:57:51,2021-01-21 14:57:51,0.292s,PASSED
